id,text
1,"Philosophy is the art of questioning.
It challenges our understanding of life."
2,"The mind contemplates existence.
Every thought is a step toward wisdom."
3,"Ancient sages pondered on virtue.
Their insights still echo today."
4,"Existence and essence are intertwined.
Philosophy seeks the truth behind being."
5,"Reason and logic form the foundation.
Question everything, embrace uncertainty."
6,"The journey of self-discovery is endless.
Each reflection deepens our knowledge."
7,"Ethics guide our actions.
Philosophy provides the moral compass."
8,"Knowledge is power, yet humility is wisdom.
Balance defines the essence of life."
9,"In the pursuit of truth, contradictions arise.
Philosophy navigates through paradoxes."
10,"The inquiry into existence never ceases.
Every question opens a door to deeper thought."
